Ensembl Transcript ID	Chromosome Name	Transcript Start (bp)	Transcript End (bp)
ENSDART00000129185	19	41146727	41165805
ENSDART00000131316	5	35137841	35143575
ENSDART00000145738	17	43704727	43706519
ENSDART00000075619	17	43704727	43706532
ENSDART00000078543	16	31070496	31084194
ENSDART00000141055	3	29774236	29775905
ENSDART00000138039	3	29774607	29776745
ENSDART00000136513	3	29775216	29776695
ENSDART00000141632	3	29775216	29777054
ENSDART00000140091	3	29775414	29776326
ENSDART00000156023	23	35842352	35849823
ENSDART00000137358	23	37916785	37929019
ENSDART00000099990	13	45383432	45402064
ENSDART00000141298	13	45395192	45402059
ENSDART00000074765	13	45383010	45398760
ENSDART00000139067	2	33410040	33413629
ENSDART00000052307	10	45263620	45273587
ENSDART00000100918	9	34113746	34115286
ENSDART00000090611	1	25706787	25748642
ENSDART00000020638	9	36896658	36918454
ENSDART00000032861	23	32600664	32629321
ENSDART00000134447	9	36913901	36916498
ENSDART00000152406	1	25707813	25748587
ENSDART00000138963	9	36915010	36916768
ENSDART00000135481	13	28925706	28928773
ENSDART00000144141	9	36913998	36915822
ENSDART00000135931	13	28924835	28928773
ENSDART00000079656	12	47758081	47770806
ENSDART00000154829	17	28030254	28035141
ENSDART00000153035	12	47758179	47768410
ENSDART00000062130	17	28030320	28031417
ENSDART00000031486	24	41082680	41091589
ENSDART00000145606	24	41084391	41091558
ENSDART00000148816	2	59848058	59864896
ENSDART00000122795	2	59848104	59857815
ENSDART00000154559	25	38285943	38293382
ENSDART00000153902	16	33813000	33815880
ENSDART00000142108	2	36615858	36622604
ENSDART00000084938	2	36928632	36931230
ENSDART00000142230	2	45691374	45694499
ENSDART00000150874	4	32492624	32494306
ENSDART00000137341	22	25747182	25748508
ENSDART00000086738	25	38282693	38292975
ENSDART00000098592	19	25423801	25444058
ENSDART00000152705	25	31120687	31141671
ENSDART00000005913	25	31120702	31141667
ENSDART00000137868	5	35121006	35122865
ENSDART00000079734	20	48621718	48655085
ENSDART00000154081	15	33164885	33166760
ENSDART00000149253	10	30688237	30712016
ENSDART00000151408	3	34112002	34112474
ENSDART00000152089	4	43020571	43022583
ENSDART00000075270	3	32962285	32968947
ENSDART00000114312	10	30701795	30716862
ENSDART00000150466	4	47742394	47743548
ENSDART00000151832	10	46355492	46360626
ENSDART00000144705	20	34181916	34317215
ENSDART00000151105	3	37752167	37754751
ENSDART00000125440	25	37369417	37369728
ENSDART00000151067	3	37752175	37753929
ENSDART00000153128	20	34183532	34188886
ENSDART00000099214	8	27776556	27814722
ENSDART00000151208	3	37752562	37754778
ENSDART00000020389	20	34182641	34316893
ENSDART00000076238	21	36976333	36994394
ENSDART00000150938	3	37752564	37753269
ENSDART00000150962	3	37752703	37754155
ENSDART00000140154	5	43476032	43479138
ENSDART00000131218	22	26034580	26067537
ENSDART00000134777	5	34818250	34833287
ENSDART00000097935	5	34818166	34833159
ENSDART00000147390	2	51794747	51795507
ENSDART00000022586	6	29827546	29836350
ENSDART00000140921	6	29827565	29829207
ENSDART00000137698	17	28702568	28711622
ENSDART00000144391	6	29833877	29835665
ENSDART00000131912	5	39988900	40039070
ENSDART00000140895	22	29602191	29602599
ENSDART00000039698	5	39988900	40005396
ENSDART00000133739	22	22336258	22345173
ENSDART00000139094	12	47083636	47100259
ENSDART00000111449	12	47074448	47100236
ENSDART00000074682	12	47074448	47099985
ENSDART00000112889	22	37852814	37902897
ENSDART00000045227	22	37855078	37948329
ENSDART00000156366	15	45693653	45700036
ENSDART00000128404	15	45693653	45700903
ENSDART00000105753	24	29608812	29633701
ENSDART00000123825	12	37124733	37135125
ENSDART00000144784	1	58868770	58873585
ENSDART00000138430	9	33916599	33918489
ENSDART00000132835	20	49182906	49189317
ENSDART00000152836	20	34695994	34725262
ENSDART00000112872	20	49184927	49188872
ENSDART00000138226	20	34696004	34725262
ENSDART00000149491	16	31776262	31790653
ENSDART00000139811	9	31611233	31615544
ENSDART00000152978	12	50218038	50234038
ENSDART00000154395	24	37674400	37693089
ENSDART00000113972	12	50215340	50233896
ENSDART00000111891	24	37674403	37692251
ENSDART00000015034	18	44559958	44568561
ENSDART00000113182	9	31613561	31615499
ENSDART00000121777	9	31613620	31615499
ENSDART00000141287	18	44560058	44565647
ENSDART00000133102	18	44565173	44568002
ENSDART00000054807	22	24972414	24979972
ENSDART00000079556	22	24970015	24979988
ENSDART00000150958	3	30521827	30585135
ENSDART00000076649	3	30523829	30535472
ENSDART00000074534	6	59354086	59360885
ENSDART00000143422	10	46127811	46142847
ENSDART00000131449	10	46147504	46152281
ENSDART00000098953	10	46135031	46151604
ENSDART00000139178	21	37545945	37579564
ENSDART00000003001	21	25465361	25468127
ENSDART00000156006	16	39529840	39559403
ENSDART00000146465	21	37565652	37578927
ENSDART00000036600	21	37547147	37579564
ENSDART00000127911	21	37545946	37578799
ENSDART00000141001	21	25465448	25468125
ENSDART00000156628	16	39545761	39559413
ENSDART00000134939	21	25465400	25467653
ENSDART00000102181	16	39554220	39559403
ENSDART00000146573	21	25465421	25468125
ENSDART00000115339	16	39528909	39558781
ENSDART00000144521	20	38645375	38673599
ENSDART00000144072	23	36469696	36471701
ENSDART00000140493	23	36469713	36471698
ENSDART00000146964	13	46340331	46342222
ENSDART00000135988	23	26770555	26776512
ENSDART00000124811	23	26766353	26772950
ENSDART00000045850	20	38645390	38695405
ENSDART00000145835	2	27466576	27477384
ENSDART00000153105	20	38645443	38658169
ENSDART00000059954	15	33724563	33754750
ENSDART00000141289	2	27467316	27475710
ENSDART00000155934	6	49674636	49681373
ENSDART00000137053	2	27473495	27478351
ENSDART00000099604	10	35912766	35930915
ENSDART00000154738	6	49674637	49692416
ENSDART00000019259	5	38294022	38301923
ENSDART00000139585	5	38294151	38294724
ENSDART00000138104	13	37376407	37395059
ENSDART00000002693	6	49674955	49688896
ENSDART00000140390	1	58683905	58689343
ENSDART00000137328	13	37382092	37387578
ENSDART00000024386	13	37359952	37392735
ENSDART00000155790	6	32107302	32199468
ENSDART00000082698	6	32173529	32198604
ENSDART00000127648	5	39566962	39571465
ENSDART00000051224	5	39563708	39573967
ENSDART00000019417	2	29818117	29831299
ENSDART00000121655	2	29820791	29833015
ENSDART00000139635	21	33942525	33953553
ENSDART00000132711	21	33947080	33953553
ENSDART00000128830	21	33942586	33953509
ENSDART00000078316	6	37681956	37693856
ENSDART00000131281	5	44021118	44027892
ENSDART00000149722	6	37682665	37692789
ENSDART00000146879	5	65786715	65831799
ENSDART00000143916	5	44026544	44030279
ENSDART00000097351	5	65787258	65831797
ENSDART00000149068	6	37682674	37692072
ENSDART00000150177	6	37682798	37692778
ENSDART00000058466	14	49384752	49386930
ENSDART00000153563	14	49386272	49387029
ENSDART00000103182	3	33106180	33110530
ENSDART00000131808	3	33106743	33110487
ENSDART00000019748	4	20687452	20787163
ENSDART00000147512	3	33109950	33110510
ENSDART00000156856	15	36307153	36308845
ENSDART00000127284	15	30605547	30606527
ENSDART00000155045	15	30605541	30606488
ENSDART00000077745	9	36684366	36686753
ENSDART00000151298	19	44489208	44520021
ENSDART00000051724	19	44497498	44520022
ENSDART00000140356	9	36685219	36686583
ENSDART00000087450	25	35671146	35695548
ENSDART00000113735	1	28114604	28133331
ENSDART00000141163	19	42324753	42343909
ENSDART00000137055	1	28114614	28115911
ENSDART00000137119	19	42324753	42343909
ENSDART00000152899	12	49633438	49635564
ENSDART00000153335	12	49633439	49634880
ENSDART00000054788	12	49633438	49635557
ENSDART00000108895	25	36211825	36212235
ENSDART00000022325	25	32846263	32860613
ENSDART00000150686	4	48503900	48521559
ENSDART00000155281	12	40967394	40980961
ENSDART00000131243	4	52292492	52326079
ENSDART00000148514	7	56793796	56803068
ENSDART00000127767	4	52292577	52296923
ENSDART00000127316	4	48510311	48519551
ENSDART00000013796	7	56795987	56803001
ENSDART00000124567	15	46066678	46080597
ENSDART00000099185	15	46071338	46074333
ENSDART00000150444	4	31512994	31522697
ENSDART00000143989	4	31521541	31522578
ENSDART00000066257	12	32404918	32425092
ENSDART00000148888	12	32415065	32441864
ENSDART00000126466	12	32404919	32441661
ENSDART00000153865	17	29781195	29782323
ENSDART00000140723	19	38173635	38175994
ENSDART00000136527	19	38174046	38174875
ENSDART00000125767	4	25037505	25103674
ENSDART00000148041	17	33639324	33642569
ENSDART00000102780	19	42253706	42343927
ENSDART00000154763	15	36464508	36466312
ENSDART00000077581	17	33639334	33646778
ENSDART00000099863	8	52577295	52604468
ENSDART00000097213	8	29441749	29443533
ENSDART00000152663	1	28382107	28383375
ENSDART00000079114	19	28613319	28616323
ENSDART00000087149	16	31532159	31537135
ENSDART00000130922	19	28613322	28616331
ENSDART00000056679	2	31392512	31402125
ENSDART00000156959	2	25073726	25079369
ENSDART00000126177	2	31399002	31402075
ENSDART00000137862	9	35950171	35958131
ENSDART00000110325	9	35950641	35956440
ENSDART00000062536	20	30920001	30926942
ENSDART00000153419	20	30920732	30926855
ENSDART00000058797	20	30919279	30926243
ENSDART00000038807	1	53870145	53884605
ENSDART00000133737	1	53870184	53873770
ENSDART00000146235	1	53875683	53880774
ENSDART00000055317	4	19076881	19091775
ENSDART00000143299	1	53880626	53883325
ENSDART00000064817	17	25698361	25727162
ENSDART00000122105	17	25699987	25726208
ENSDART00000061334	20	38861947	38925129
ENSDART00000147135	9	40375891	40553117
ENSDART00000100398	9	40473715	40611010
ENSDART00000153914	10	38138389	38316845
ENSDART00000140558	2	37151750	37157771
ENSDART00000155766	19	29163759	29266031
ENSDART00000151806	19	29163759	29266031
ENSDART00000151148	19	29219323	29266046
ENSDART00000132427	2	37145094	37149708
ENSDART00000151844	4	17908040	17918983
ENSDART00000065159	21	37272808	37275500
ENSDART00000143494	19	32289885	32299724
ENSDART00000146990	23	28737081	28811870
ENSDART00000133894	21	39090811	39092049
ENSDART00000006657	23	28737093	28811700
ENSDART00000151197	3	29815476	29822772
ENSDART00000103563	3	29820192	29821016
ENSDART00000026885	2	37149300	37168609
ENSDART00000157222	10	39878532	39892981
ENSDART00000041549	6	52192958	52204460
ENSDART00000152226	1	28445802	28449644
ENSDART00000157317	6	37390137	37403258
ENSDART00000111546	1	28445865	28449638
ENSDART00000086732	6	37391197	37403254
ENSDART00000086165	10	43351810	43385465
ENSDART00000133861	16	40613498	40666208
ENSDART00000146564	16	40643319	40666309
ENSDART00000138711	16	40645193	40666249
ENSDART00000143846	16	40645778	40666288
ENSDART00000154959	9	52538400	52623098
ENSDART00000021645	21	34007230	34021094
ENSDART00000130632	21	26721836	26733033
ENSDART00000150081	3	40836679	40866148
ENSDART00000131011	7	55342635	55444971
ENSDART00000143207	3	40850877	40865303
ENSDART00000126096	3	40836766	40865303
ENSDART00000135600	5	40212591	40215571
ENSDART00000143434	5	31489923	31535258
ENSDART00000126587	2	36947844	36963370
ENSDART00000082603	5	72937074	72954494
ENSDART00000087128	5	31519979	31535258
ENSDART00000128069	5	72950981	72951840
ENSDART00000084958	2	36947951	36963140
ENSDART00000133677	13	33220622	33224251
ENSDART00000134140	13	33227942	33233336
ENSDART00000141140	13	33228920	33233241
ENSDART00000125953	9	43806035	43899500
ENSDART00000015512	22	25507210	25515573
ENSDART00000098450	18	47062641	47064157
ENSDART00000147165	13	33241163	33245974
ENSDART00000131451	22	39715270	39718707
ENSDART00000144779	9	43902167	43905052
ENSDART00000044784	13	33221277	33230942
ENSDART00000039109	16	34366042	34372746
ENSDART00000123655	1	27149902	27255466
ENSDART00000150796	4	39602792	39696345
ENSDART00000147531	2	26583106	26584283
ENSDART00000154777	1	27071903	27255465
ENSDART00000134401	2	26583213	26584283
ENSDART00000147210	16	44509825	44556881
ENSDART00000060005	22	33728358	33733333
ENSDART00000007442	16	44509825	44531738
ENSDART00000108556	8	38861414	38867060
ENSDART00000150453	4	49259960	49295980
ENSDART00000147942	8	38861483	38867061
ENSDART00000154937	3	32611637	32614261
ENSDART00000042683	6	41186349	41376429
ENSDART00000141122	9	43908104	43946743
ENSDART00000136526	2	39631157	39730818
ENSDART00000000908	9	43908103	43944799
ENSDART00000141270	2	39712934	39730818
ENSDART00000128815	3	58639826	58643911
ENSDART00000002299	9	43806037	43934123
ENSDART00000150354	4	29153181	29159629
ENSDART00000148693	3	58639827	58643807
ENSDART00000125171	4	29153943	29159633
ENSDART00000035101	6	40648680	40653064
ENSDART00000100143	9	43806037	43811220
ENSDART00000149680	7	68734807	68766874
ENSDART00000076454	9	43806037	43811220
ENSDART00000003612	7	68732985	68763087
ENSDART00000156149	3	33043058	33049763
ENSDART00000060405	7	55234835	55569461
ENSDART00000113326	3	33042194	33049763
ENSDART00000155518	3	38757673	38778733
ENSDART00000000595	3	38757674	38772335
ENSDART00000131961	4	51685593	51686985
ENSDART00000011837	9	45357658	45361008
ENSDART00000149190	2	27990088	27992381
ENSDART00000012484	2	27990196	28011192
ENSDART00000150452	4	37711401	37723035
ENSDART00000129881	4	37714009	37722911
ENSDART00000038696	20	46562239	46600061
ENSDART00000133099	21	31224738	31235071
ENSDART00000122115	20	46811255	46815465
ENSDART00000147318	21	31225496	31230128
ENSDART00000007675	21	31224720	31235071
ENSDART00000154070	20	46811136	46815333
ENSDART00000150025	16	55703149	55728633
ENSDART00000097863	16	55703200	55824084
ENSDART00000098968	20	46811702	46814934
ENSDART00000087422	24	41574249	41582405
ENSDART00000124743	Zv9_NA885	24294	30205
ENSDART00000150802	4	51125698	51154690
ENSDART00000125751	4	51136260	51154686
ENSDART00000130959	Zv9_scaffold3561	27558	32636
ENSDART00000149859	18	38086949	38099659
ENSDART00000087960	18	38087114	38099463
ENSDART00000146493	2	43868731	43913416
ENSDART00000132251	2	43887116	43897003
ENSDART00000153229	12	36228074	36238679
ENSDART00000136077	2	43887230	43912138
ENSDART00000154354	22	30639508	30643528
ENSDART00000153771	22	30640865	30642888
ENSDART00000083633	1	55240067	55245449
ENSDART00000155919	22	30640960	30643340
ENSDART00000152307	1	56148323	56156958
ENSDART00000005449	2	43868776	43889928
ENSDART00000138118	Zv9_scaffold3478	54097	55299
ENSDART00000126042	17	49783833	49789910
ENSDART00000061617	22	20487688	20496746
ENSDART00000125590	16	45995676	46127888
ENSDART00000156501	6	54280166	54303726
ENSDART00000114920	6	54277985	54303645
ENSDART00000154493	16	45995688	46002367
ENSDART00000000005	9	35060460	35084513
ENSDART00000101079	1	48199031	48268849
ENSDART00000154961	7	67917224	67938816
ENSDART00000011577	7	67924419	67938174
ENSDART00000149270	6	54494106	54517666
ENSDART00000112344	6	54494205	54522540
ENSDART00000017859	6	40485415	40494373
ENSDART00000155928	6	40485474	40490929
ENSDART00000151987	4	43288489	43300124
ENSDART00000138746	8	51410751	51416029
ENSDART00000109012	8	51410805	51416851
ENSDART00000017755	22	22623596	22637779
ENSDART00000112566	21	172259	174722
ENSDART00000146960	1	22749492	23029334
ENSDART00000145677	8	41603586	41607315
ENSDART00000142740	1	23038402	23124616
ENSDART00000110675	8	41605966	41607021
ENSDART00000025224	1	22694787	23124646
ENSDART00000066961	4	19016893	19033176
ENSDART00000154701	2	56273487	56308362
ENSDART00000150266	4	37250401	37251183
ENSDART00000154107	2	56279113	56308362
ENSDART00000060633	8	53586441	53618885
ENSDART00000140778	8	53587123	53592543
ENSDART00000143195	8	53592197	53597611
ENSDART00000145669	17	37237614	37324038
ENSDART00000080665	4	62050226	62051781
ENSDART00000104020	17	37237614	37319696
ENSDART00000157138	4	62050237	62051638
ENSDART00000145011	8	47173861	47188714
ENSDART00000140564	9	42346274	42396789
ENSDART00000130100	4	62050279	62058991
ENSDART00000134161	8	47173861	47188777
ENSDART00000007584	20	34937677	34980838
ENSDART00000142322	8	47184322	47188772
ENSDART00000145258	9	42357445	42424354
ENSDART00000153064	20	34940553	34975936
ENSDART00000126848	8	47170985	47188714
ENSDART00000139048	9	42386742	42424366
ENSDART00000062738	20	34957791	34980651
ENSDART00000004546	8	47170985	47188777
ENSDART00000024331	9	42357452	42424261
ENSDART00000137927	20	34967979	34979868
ENSDART00000141699	5	71671171	71687356
ENSDART00000122459	4	62041878	62059140
ENSDART00000022918	7	52366139	52372428
ENSDART00000059063	18	43066459	43079899
ENSDART00000082674	5	71672481	71684129
ENSDART00000154310	3	53111692	53112792
ENSDART00000141068	20	30058536	30061234
ENSDART00000143025	20	37845598	37850744
ENSDART00000128715	17	37371747	37381714
ENSDART00000134355	5	47532341	47549432
ENSDART00000036242	5	47527262	47549388
ENSDART00000064692	20	37845600	37851668
ENSDART00000152865	20	37850412	37851991
ENSDART00000078167	23	29045899	29051372
ENSDART00000082351	24	8521274	8532116
ENSDART00000082349	24	8521274	8530614
ENSDART00000082346	24	8521277	8529215
ENSDART00000146422	19	48641894	48669157
ENSDART00000142397	19	48641914	48668764
ENSDART00000102287	19	48629554	48669069
ENSDART00000055487	17	43513519	43521067
ENSDART00000143238	17	43513931	43520549
ENSDART00000134763	9	33831124	33838261
ENSDART00000133382	9	33835046	33838216
ENSDART00000059322	10	7319768	7381450
ENSDART00000112196	25	37382502	37382813
ENSDART00000149976	18	49572937	49581523
ENSDART00000140864	25	36157936	36162447
ENSDART00000138865	25	36158837	36162170
ENSDART00000113134	1	59387147	59406072
ENSDART00000002296	18	49573940	49581517
ENSDART00000122316	1	33300917	33316897
ENSDART00000156375	6	58394842	58402485
ENSDART00000130440	6	58374317	58398509
ENSDART00000145234	1	59018370	59033241
ENSDART00000073779	1	59019261	59033187
ENSDART00000109471	2	50139255	50173854
ENSDART00000098958	18	35146381	35205222
ENSDART00000108861	2	50142297	50173919
ENSDART00000102184	1	33300925	33327476
ENSDART00000154981	17	37017240	37028506
ENSDART00000149105	1	33315912	33326585
ENSDART00000056252	2	50139218	50173883
ENSDART00000112257	17	37017794	37027317
ENSDART00000138719	3	40930876	40940492
ENSDART00000102416	3	40930883	40940506
ENSDART00000086405	20	39775157	39814745
ENSDART00000125688	20	27033165	27042566
ENSDART00000098253	20	39778092	39814748
ENSDART00000152956	20	27033278	27034114
ENSDART00000132486	10	44884951	44928620
ENSDART00000153232	20	27033320	27035180
ENSDART00000141685	10	44912261	44920088
ENSDART00000108954	10	44885795	44928617
ENSDART00000139693	9	37171886	37173452
ENSDART00000156492	17	49237769	49374443
ENSDART00000073385	25	11713057	11714824
ENSDART00000156577	5	47938312	47938836
ENSDART00000157360	17	49282944	49293151
ENSDART00000130685	17	49252170	49373557
ENSDART00000145959	5	59163549	59228249
ENSDART00000144592	5	59191463	59228346
ENSDART00000089961	5	59163274	59169984
ENSDART00000053139	24	40734284	40751751
ENSDART00000154393	6	58472449	58517922
ENSDART00000151951	2	43926076	43927655
ENSDART00000126413	2	43926076	43934272
ENSDART00000156181	6	58501308	58505481
ENSDART00000131274	5	66448092	66485903
ENSDART00000051970	19	41156804	41159423
ENSDART00000018498	6	58477614	58517302
ENSDART00000151079	19	41156804	41159440
ENSDART00000005696	5	66448276	66476433
ENSDART00000108824	Zv9_NA295	2444	7960
ENSDART00000132696	9	45789650	45892728
ENSDART00000145844	21	39139533	39140471
ENSDART00000145271	9	45789619	45824545
ENSDART00000086176	9	45789804	45891883
ENSDART00000122802	Zv9_scaffold3561	108992	120408
ENSDART00000155997	17	47101312	47105583
ENSDART00000126398	Zv9_scaffold3517	76208	114012
ENSDART00000110947	22	8404337	8407976
ENSDART00000139331	4	57033490	57035999
ENSDART00000150821	10	41717303	41718355
ENSDART00000156420	10	41717315	41718328
ENSDART00000006612	9	52776692	52782926
ENSDART00000142927	5	67596218	67602349
ENSDART00000136850	5	67596252	67600638
ENSDART00000143885	2	43955869	43980375
ENSDART00000007074	2	43956604	43980213
ENSDART00000144786	4	44979210	44985503
ENSDART00000132591	19	43756500	43759201
ENSDART00000015833	8	53912915	53914042
ENSDART00000151022	19	43756505	43758764
ENSDART00000150295	4	51011495	51017775
ENSDART00000154159	17	40187100	40187848
ENSDART00000139555	9	57081398	57088845
ENSDART00000133864	9	57081398	57096701
ENSDART00000102938	13	170973	173786
ENSDART00000056634	2	32075481	32104666
ENSDART00000047080	9	57062182	57096418
ENSDART00000148202	2	32098254	32105316
ENSDART00000146933	8	32721034	32747371
ENSDART00000131408	2	32102456	32104817
ENSDART00000145575	2	32100398	32104473
ENSDART00000146862	2	32096452	32102518
ENSDART00000137445	2	32075770	32079649
ENSDART00000131686	2	32075914	32079338
ENSDART00000136758	2	32075938	32084864
ENSDART00000137377	13	36357161	36363034
ENSDART00000113635	13	36357317	36367423
ENSDART00000144758	2	32075893	32084162
ENSDART00000150717	4	47353275	47354146
ENSDART00000141757	2	32079549	32102558
ENSDART00000141455	8	41995278	42028629
ENSDART00000037888	4	735221	738018
ENSDART00000151478	19	45011354	45020473
ENSDART00000035739	1	40245069	40258446
ENSDART00000036280	8	41995279	42022760
ENSDART00000135791	1	40245751	40258387
ENSDART00000143425	23	31678694	31751076
ENSDART00000131352	23	31678787	31745433
ENSDART00000033362	19	43237473	43260059
ENSDART00000138625	23	31678919	31745433
ENSDART00000133002	23	31678919	31745433
ENSDART00000113207	7	5823124	5823602
ENSDART00000126920	23	31678289	31745433
ENSDART00000133721	23	27816176	27830466
ENSDART00000075903	3	35897336	35932410
ENSDART00000138381	23	27823561	27830391
ENSDART00000025096	17	26595657	26644506
ENSDART00000143227	3	35897352	35903703
ENSDART00000042147	3	53537823	53573393
ENSDART00000147712	3	35897368	35918626
ENSDART00000154921	17	26625518	26643006
ENSDART00000147485	20	38282475	38302293
ENSDART00000145923	3	35897373	35916658
ENSDART00000137832	10	41819765	41820790
ENSDART00000058958	3	53537766	53590050
ENSDART00000149160	20	38282527	38316661
ENSDART00000061437	20	38301498	38302288
ENSDART00000129542	2	30094482	30110825
ENSDART00000142424	24	41473633	41474449
ENSDART00000021469	2	30094482	30111291
ENSDART00000093240	17	344788	357804
ENSDART00000112306	2	30094482	30111291
ENSDART00000151216	3	34198706	34199134
ENSDART00000030622	17	41158892	41240863
ENSDART00000045016	2	36861281	36866986
ENSDART00000020135	2	36855114	36867405
ENSDART00000142940	2	36861286	36864132
ENSDART00000146409	2	36861307	36864450
ENSDART00000129288	2	36861317	36867404
ENSDART00000129527	1	57373246	57377691
ENSDART00000154589	1	57373534	57379446
ENSDART00000099106	1	57373890	57377691
ENSDART00000136873	19	44296650	44405093
ENSDART00000144557	19	44319337	44405093
ENSDART00000151086	19	44335483	44338080
ENSDART00000139109	19	44338006	44405093
ENSDART00000150825	4	29987295	29999211
ENSDART00000133711	19	44357677	44376486
ENSDART00000140153	1	55730478	55735431
ENSDART00000151378	19	44364741	44367561
ENSDART00000063750	1	57653318	57669614
ENSDART00000151023	19	44369502	44376374
ENSDART00000111671	1	55730479	55750050
ENSDART00000150930	19	44372836	44393298
ENSDART00000141092	1	58613859	58617962
ENSDART00000132717	1	58614344	58616149
ENSDART00000157219	16	37146395	37157181
ENSDART00000104222	1	57653580	57670482
ENSDART00000138735	19	44396160	44401201
ENSDART00000156030	6	59544474	59551292
ENSDART00000076668	19	44319337	44405090
ENSDART00000102499	19	44319337	44405090
ENSDART00000143018	1	57663337	57670472
ENSDART00000017807	25	38273548	38274535
ENSDART00000039871	19	44297006	44405090
ENSDART00000018064	13	38014818	38017588
ENSDART00000139148	20	49095818	49145612
ENSDART00000083554	6	59516590	59550400
ENSDART00000086666	5	7220361	7255041
ENSDART00000135875	13	38014818	38017492
ENSDART00000142718	21	42260372	42283206
ENSDART00000152690	1	57553987	57558195
ENSDART00000029981	14	7770521	7857833
ENSDART00000126013	13	42664266	42671929
ENSDART00000075675	21	42261617	42281333
ENSDART00000131147	13	42664268	42669460
ENSDART00000099870	13	42664264	42671917
ENSDART00000145705	13	44136443	44228999
ENSDART00000084416	13	44138863	44228958
ENSDART00000043774	22	26868865	26880796
ENSDART00000133267	22	34003284	34262272
ENSDART00000140380	1	50157411	50163711
ENSDART00000092447	22	34003544	34261849
ENSDART00000151612	6	52301262	52303257
ENSDART00000151349	6	52301330	52303182
ENSDART00000065681	6	52756933	52798860
ENSDART00000123699	4	29785506	29799564
ENSDART00000065682	6	52742715	52798807
ENSDART00000077761	6	52742715	52798807
ENSDART00000002571	6	52742715	52798807
ENSDART00000013148	16	35906777	35909646
ENSDART00000074380	1	50157415	50180405
ENSDART00000150880	1	50174822	50180405
ENSDART00000148894	16	54891752	54902149
ENSDART00000143797	1	50179880	50180403
ENSDART00000156042	16	35880658	35905996
ENSDART00000143413	8	41748564	41750788
ENSDART00000060479	14	14940368	14954074
ENSDART00000148117	1	50179888	50180403
ENSDART00000050644	16	54847474	54904232
ENSDART00000142965	16	35896529	35905664
ENSDART00000135487	1	50179888	50180403
ENSDART00000133019	16	35896541	35905767
ENSDART00000064878	6	44095027	44125040
ENSDART00000101017	1	50157421	50180402
ENSDART00000147998	23	32793166	33106112
ENSDART00000084985	23	32806998	32859078
ENSDART00000066859	3	50719428	50726533
ENSDART00000143594	21	39343836	39357730
ENSDART00000017709	21	39333985	39357572
ENSDART00000155050	3	55965769	55966429
ENSDART00000097905	2	52033367	52034083
ENSDART00000136396	Zv9_scaffold3503	376380	381341
ENSDART00000156109	2	52029873	52033686
ENSDART00000112637	6	39767338	39797534
ENSDART00000135611	Zv9_scaffold3503	380448	381725
ENSDART00000019519	23	26233787	26263995
ENSDART00000136726	6	47470470	47737578
ENSDART00000044487	6	47473462	47568281
ENSDART00000101955	7	18461206	18463126
ENSDART00000101968	7	18461220	18463126
ENSDART00000014970	1	51700754	51707305
ENSDART00000151011	3	33523140	33529351
ENSDART00000132141	1	51700895	51706165
ENSDART00000132244	1	51700753	51704521
ENSDART00000155679	1	51701813	51706762
ENSDART00000152143	1	55587656	55608269
ENSDART00000152590	1	55595692	55608269
ENSDART00000125878	1	55588235	55598025
ENSDART00000121686	3	55965769	55966546
ENSDART00000144678	15	39837929	39858961
ENSDART00000142880	1	47222915	47240659
ENSDART00000156022	17	47112972	47114880
ENSDART00000089358	1	56727187	56731699
ENSDART00000012229	20	44670113	44702013
ENSDART00000102711	17	47112972	47114311
ENSDART00000130828	1	52102724	52115392
ENSDART00000084184	1	50801021	50826737
ENSDART00000144863	1	45625524	45626130
ENSDART00000115037	11	27167503	27245282
ENSDART00000009889	21	25879336	25883673
ENSDART00000155904	17	47116106	47117753
ENSDART00000147331	4	38471596	38475441
ENSDART00000131331	17	47116497	47117753
ENSDART00000060458	20	54382929	54384273
ENSDART00000153400	20	54383094	54384273
ENSDART00000152961	20	54383166	54384273
ENSDART00000151834	4	43179300	43187054
ENSDART00000135952	4	37905142	37919770
ENSDART00000150259	4	54807680	54829483
ENSDART00000130801	14	931645	955406
ENSDART00000140063	4	37915548	37919698
ENSDART00000010773	14	940674	969245
ENSDART00000021692	4	54808453	54813677
ENSDART00000055541	17	43057958	43063847
ENSDART00000019059	20	33946947	33964868
ENSDART00000150691	4	56328956	56332696
ENSDART00000138344	10	37857085	37869833
ENSDART00000146292	20	33948843	33961270
ENSDART00000143470	20	48996966	48998022
ENSDART00000134300	16	44717535	44718576
ENSDART00000139609	20	33948844	33963283
ENSDART00000135302	10	37860039	37862755
ENSDART00000129251	16	17392873	17442440
ENSDART00000135910	16	43012965	43013894
ENSDART00000135429	4	44308224	44309475
ENSDART00000128628	4	56328431	56331290
ENSDART00000139272	16	43013113	43015472
ENSDART00000121711	16	43013177	43018646
ENSDART00000132977	4	44308374	44378018
ENSDART00000135114	20	54605391	54635728
ENSDART00000134942	4	44370181	44377968
ENSDART00000077161	10	37857116	37877978
ENSDART00000112816	4	44308377	44344913
ENSDART00000113381	22	26292343	26293332
ENSDART00000124416	21	38881606	38886024
ENSDART00000144842	6	58734796	58770303
ENSDART00000103144	6	58734845	58770298
ENSDART00000042595	6	58734845	58770298
ENSDART00000061672	20	54605391	54635746
ENSDART00000138624	20	54609645	54618491
ENSDART00000148263	20	54610426	54622811
